direction,destination,destination_code,origin,origin_code,coverage,data_type,both_1990,male_1990,female_1990,both_1995,male_1995,female_1995,both_2000,male_2000,female_2000,both_2005,male_2005,female_2005,both_2010,male_2010,female_2010,both_2015,male_2015,female_2015,both_2020,male_2020,female_2020,both_2024,male_2024,female_2024
immigrants_into_poland,Poland,616,Southern Africa,913,,B R,140,71,69,182,91,91,238,120,118,311,163,148,407,228,179,529,296,233,689,382,307,783,437,346
immigrants_into_poland,Poland,616,South Africa,710,,B R,140,71,69,182,91,91,238,120,118,311,163,148,407,228,179,529,296,233,689,382,307,783,437,346
immigrants_into_poland,Poland,616,Western Africa,914,,B R,68,57,11,104,87,17,157,131,26,292,269,23,595,580,15,746,711,35,868,768,100,902,707,195
immigrants_into_poland,Poland,616,Nigeria,566,,B R,68,57,11,104,87,17,157,131,26,292,269,23,595,580,15,746,711,35,868,768,100,902,707,195
immigrants_into_poland,Poland,616,ASIA,935,,B R,5888,3330,2558,7335,4125,3210,9207,5162,4045,13082,7385,5697,20766,12004,8762,22717,12925,9792,24205,13511,10694,26000,14530,11470
immigrants_into_poland,Poland,616,Central Asia,5500,,B R,2145,949,1196,2694,1190,1504,3387,1496,1891,4340,1906,2434,5616,2451,3165,6936,3021,3915,8513,3728,4785,9271,4139,5132
immigrants_into_poland,Poland,616,Kazakhstan,398,,B R,1967,886,1081,2459,1107,1352,3075,1385,1690,3911,1759,2152,5014,2246,2768,6168,2745,3423,7548,3323,4225,8163,3623,4540
immigrants_into_poland,Poland,616,Uzbekistan,860,,B R,178,63,115,235,83,152,312,111,201,429,147,282,602,205,397,768,276,492,965,405,560,1108,516,592
immigrants_into_poland,Poland,616,Eastern Asia,906,,B R,615,283,332,737,339,398,886,408,478,1551,728,823,3250,1594,1656,2730,1289,1441,2038,929,1109,1762,794,968
immigrants_into_poland,Poland,616,China,156,,B R,414,189,225,479,219,260,553,252,301,979,476,503,2123,1123,1000,1627,830,797,1069,515,554,703,327,376
immigrants_into_poland,Poland,616,Japan,392,,B R,110,53,57,144,69,75,191,92,99,340,156,184,699,309,390,689,308,381,607,285,322,673,329,344
immigrants_into_poland,Poland,616,Mongolia,496,,B R,91,41,50,114,51,63,142,64,78,232,96,136,428,162,266,414,151,263,362,129,233,386,138,248
