direction,destination,destination_code,origin,origin_code,coverage,data_type,both_1990,male_1990,female_1990,both_1995,male_1995,female_1995,both_2000,male_2000,female_2000,both_2005,male_2005,female_2005,both_2010,male_2010,female_2010,both_2015,male_2015,female_2015,both_2020,male_2020,female_2020,both_2024,male_2024,female_2024
poles_abroad,Serbia*,688,Poland,616,,B R,794,82,712,744,74,670,728,80,648,716,92,624,686,100,586,657,108,549,629,114,515,783,209,574
poles_abroad,Slovenia,705,Poland,616,,B,62,31,31,133,37,96,254,60,194,244,63,181,380,131,249,413,155,258,399,113,286,452,128,324
poles_abroad,Spain*,724,Poland,616,,B R,1883,991,892,5015,2546,2469,12745,6204,6541,41736,21732,20004,73047,37186,35861,58298,26344,31954,50345,20114,30231,51651,20086,31565
poles_abroad,Western Europe,926,Poland,616,,,1198465,514347,684118,1302648,558535,744113,1404460,603564,800896,1529368,659502,869866,1817395,791568,1025827,2113784,944368,1169416,2249704,1042258,1207446,2397087,1117408,1279679
poles_abroad,Austria,40,Poland,616,,B R,23062,9668,13394,30615,13196,17419,40217,18000,22217,50013,23140,26873,58650,27009,31641,71159,33872,37287,76451,37109,39342,79557,39109,40448
poles_abroad,Belgium,56,Poland,616,,B R,19672,7507,12165,19152,6689,12463,18632,6227,12405,26931,9955,16976,54771,23396,31375,74634,32480,42154,77386,33295,44091,79624,33948,45676
poles_abroad,France*,250,Poland,616,16,B R,135534,50389,85145,118379,42098,76281,105594,36983,68611,101355,36265,65090,102516,38496,64020,99892,38485,61407,90100,34040,56060,84406,29825,54581
poles_abroad,Germany,276,Poland,616,,B R,989687,435109,554578,1100461,483810,616651,1201741,528338,673403,1299499,571315,728184,1513519,665407,848112,1718230,771621,946609,1797038,839225,957813,1883559,883868,999691
poles_abroad,Liechtenstein,438,Poland,616,,B,11,11,,13,13,,15,15,,30,12,18,47,10,37,60,13,47,76,23,53,81,25,56
poles_abroad,Luxembourg,442,Poland,616,,B,722,309,413,642,261,381,570,217,353,1310,498,812,2065,784,1281,3150,1226,1924,5051,2112,2939,5835,2440,3395
poles_abroad,Netherlands*,528,Poland,616,17,B R,10219,3062,7157,13221,3830,9391,16763,4785,11978,27403,8942,18461,62077,26699,35378,113415,51855,61560,159749,76099,83650,210981,102828,108153
poles_abroad,Switzerland,756,Poland,616,,B R,19558,8292,11266,20165,8638,11527,20928,8999,11929,22827,9375,13452,23750,9767,13983,33244,14816,18428,43853,20355,23498,53044,25365,27679
poles_abroad,LATIN AMERICA AND THE CARIBBEAN,904,Poland,616,,,52445,24988,27457,38216,16934,21282,28393,11983,16410,20760,8633,12127,15222,6363,8859,10370,4317,6053,7843,3282,4561,8828,3566,5262
poles_abroad,Caribbean,915,Poland,616,,,734,169,565,735,141,594,744,118,626,426,84,342,120,53,67,103,51,52,83,45,38,84,46,38
poles_abroad,Bahamas,44,Poland,616,,B R,12,6,6,10,3,7,9,2,7,14,4,10,18,6,12,20,7,13,20,8,12,21,8,13
poles_abroad,Cuba,192,Poland,616,,B,211,76,135,160,53,107,115,33,82,69,19,50,40,10,30,21,5,16,11,2,9,8,1,7
poles_abroad,Dominican Republic,214,Poland,616,,B R,475,70,405,528,67,461,580,64,516,312,46,266,43,28,15,44,30,14,45,31,14,49,34,15
poles_abroad,Puerto Rico*,630,Poland,616,27,B,36,17,19,37,18,19,40,19,21,31,15,16,19,9,10,18,9,9,7,4,3,6,3,3
poles_abroad,Central America,916,Poland,616,,,1773,825,948,1457,660,797,1288,564,724,1169,493,676,1322,559,763,1368,595,773,1486,694,792,1705,832,873
poles_abroad,Costa Rica,188,Poland,616,,B R,329,160,169,224,106,118,231,101,130,152,65,87,299,129,170,302,130,172,361,166,195,436,200,236
poles_abroad,Mexico,484,Poland,616,,B R,1377,620,757,1162,506,656,977,409,568,905,356,549,855,324,531,870,340,530,890,374,516,910,397,513
poles_abroad,Panama,591,Poland,616,,B R,67,45,22,71,48,23,80,54,26,112,72,40,168,106,62,196,125,71,235,154,81,359,235,124
poles_abroad,South America,931,Poland,616,,,49938,23994,25944,36024,16133,19891,26361,11301,15060,19165,8056,11109,13780,5751,8029,8899,3671,5228,6274,2543,3731,7039,2688,4351
poles_abroad,Argentina,32,Poland,616,,B R,30053,14746,15307,21194,9431,11763,15026,6240,8786,10076,3885,6191,6547,2330,4217,3562,1162,2400,1941,559,1382,1870,489,1381
poles_abroad,Bolivia (Plurinational State of),68,Poland,616,,B R,193,108,85,182,97,85,170,85,85,179,90,89,187,94,93,219,110,109,243,124,119,271,138,133
poles_abroad,Brazil,76,Poland,616,,B R,13329,6175,7154,9722,4322,5400,7266,3139,4127,5126,2310,2816,3349,1618,1731,1323,675,648,24,16,8,28,21,7
poles_abroad,Chile,152,Poland,616,,B R,472,233,239,447,212,235,436,195,241,427,180,247,398,158,240,411,153,258,404,140,264,599,67,532
poles_abroad,Colombia,170,Poland,616,,B R,234,107,127,263,125,138,233,115,118,206,103,103,207,102,105,211,100,111,214,97,117,217,96,121
poles_abroad,Paraguay,600,Poland,616,,B R,696,352,344,842,440,402,986,524,462,939,499,440,894,474,420,872,462,410,943,502,441,1006,536,470
poles_abroad,Peru,604,Poland,616,,B R,91,53,38,116,65,51,147,79,68,173,89,84,198,97,101,224,105,119,257,114,143,437,186,251
poles_abroad,Uruguay,858,Poland,616,,B R,4067,1867,2200,2465,1092,1373,1318,581,737,1220,538,682,1130,493,637,1166,508,658,1390,625,765,1792,806,986
poles_abroad,Venezuela (Bolivarian Republic of),862,Poland,616,,B R,803,353,450,793,349,444,779,343,436,819,362,457,870,385,485,911,396,515,858,366,492,819,349,470
poles_abroad,NORTHERN AMERICA,905,Poland,616,,,594276,276051,318225,747978,344391,403587,642441,293207,349234,627629,290669,336960,626792,281352,345440,590682,261992,328690,558782,248035,310747,520535,229842,290693
poles_abroad,Bermuda*,60,Poland,616,33,B,25,14,11,27,10,17,24,5,19,28,9,19,31,13,18,36,18,18,39,15,24,40,15,25
poles_abroad,Canada,124,Poland,616,,B,184063,91312,92751,192650,93211,99439,182439,85990,96449,171592,79581,92011,156702,70992,85710,150280,68265,82015,137366,61970,75396,123819,54223,69596
poles_abroad,Greenland*,304,Poland,616,34,B,8,2,6,2,2,,7,2,5,5,3,2,27,25,2,31,23,8,29,22,7,29,22,7
poles_abroad,United States of America*,840,Poland,616,36,B,410180,184723,225457,555299,251168,304131,459971,207210,252761,456004,211076,244928,470032,210322,259710,440335,193686,246649,421348,186028,235320,396647,175582,221065
poles_abroad,OCEANIA,909,Poland,616,,,69806,35901,33905,73773,36410,37363,68826,32774,36052,65298,30024,35274,60865,26924,33941,56686,24533,32153,53286,22718,30568,48456,19736,28720
poles_abroad,Australia/New Zealand,927,Poland,616,,B R,69806,35901,33905,73773,36410,37363,68826,32774,36052,65298,30024,35274,60865,26924,33941,56686,24533,32153,53286,22718,30568,48456,19736,28720
poles_abroad,Australia*,36,Poland,616,,B R,67785,34868,32917,71775,35431,36344,66880,31859,35021,63306,29141,34165,58900,26108,32792,54501,23666,30835,50819,21748,29071,45945,18749,27196
poles_abroad,New Zealand*,554,Poland,616,37,B R,2021,1033,988,1998,979,1019,1946,915,1031,1992,883,1109,1965,816,1149,2185,867,1318,2467,970,1497,2511,987,1524
