Address,business_2007,source_2007,closed_by,business_present,source_present,notes
411 MANHATTAN AVENUE,,,,,,
413 MANHATTAN AVENUE,,,,,,
415 MANHATTAN AVENUE,,,,,,
417 MANHATTAN AVENUE,,,,,,
434 MANHATTAN AVENUE,,,,,,
419 MANHATTAN AVE,,,,,,
421 MANHATTAN AVENUE,,,,,,
423 MANHATTAN AVENUE,,,,,,
450 MANHATTAN AVENUE,,,,,,
494 MANHATTAN AVENUE,,,,,,
560 MANHATTAN AVENUE,,,,,,
568 MANHATTAN AVENUE,,,,,,
570 MANHATTAN AVENUE,,,,,,
561 MANHATTAN AVENUE,,,,,,
563 MANHATTAN AVENUE,,,,,,
567 MANHATTAN AVENUE,,,,,,
591 MANHATTAN AVENUE,,,,,,
593 MANHATTAN AVENUE,,,,,,
595 MANHATTAN AVENUE,,,,,,
597 MANHATTAN AVENUE,,,,,,
592 MANHATTAN AVENUE,,,,,,
572 MANHATTAN AVENUE,,,,,,
574 MANHATTAN AVENUE,,,,,,
576 MANHATTAN AVENUE,,,,,,
584 MANHATTAN AVENUE,,,,,,
586 MANHATTAN AVENUE,,,,,,
590 MANHATTAN AVENUE,,,,,,
599 MANHATTAN AVENUE,,,,,,
601 MANHATTAN AVENUE,,,,,,
596 MANHATTAN AVENUE,,,,,,
603 MANHATTAN AVENUE,,,,,,
598 MANHATTAN AVENUE,,,,,,
605 MANHATTAN AVENUE,,,,,,
602 MANHATTAN AVENUE,,,,,,
607 MANHATTAN AVENUE,,,,,,
604 MANHATTAN AVENUE,,,,,,
606 MANHATTAN AVENUE,,,,,,
611 MANHATTAN AVENUE,,,,,,
615 MANHATTAN AVENUE,,,,,,
610 MANHATTAN AVENUE,,,,,,
617 MANHATTAN AVENUE,,,,,,
614 MANHATTAN AVENUE,,,,,,
616 MANHATTAN AVENUE,,,,,,
620 MANHATTAN AVENUE,,,,,,
622 MANHATTAN AVENUE,,,,,,
626 MANHATTAN AVENUE,,,,,,
630 MANHATTAN AVENUE,,,,,,
632 MANHATTAN AVENUE,,,,,,
634 MANHATTAN AVENUE,,,,,,
638 MANHATTAN AVENUE,,,,,,
640 MANHATTAN AVENUE,,,,,,
644 MANHATTAN AVENUE,,,,,,
646 MANHATTAN AVENUE,,,,,,
648 MANHATTAN AVENUE,,,,,,
650 MANHATTAN AVENUE,,,,,,
655 MANHATTAN AVENUE,,,,,,
657 MANHATTAN AVENUE,,,,,,
659 MANHATTAN AVENUE,,,,,,
661 MANHATTAN AVENUE,,,,,,
654 MANHATTAN AVENUE,,,,,,
663 MANHATTAN AVENUE,,,,,,
658 MANHATTAN AVENUE,,,,,,
667 MANHATTAN AVENUE,,,,,,
662 MANHATTAN AVENUE,,,,,,
669 MANHATTAN AVENUE,,,,,,
679 MANHATTAN AVENUE,,,,,,
671 MANHATTAN AVENUE,,,,,,
664 MANHATTAN AVENUE,,,,,,
673 MANHATTAN AVENUE,,,,,,
666 MANHATTAN AVENUE,,,,,,
675 MANHATTAN AVENUE,,,,,,
670 MANHATTAN AVENUE,,,,,,
674 MANHATTAN AVENUE,,,,,,
676 MANHATTAN AVENUE,,,,,,
678 MANHATTAN AVENUE,,,,,,
680 MANHATTAN AVENUE,,,,,,
681 MANHATTAN AVENUE,,,,,,
685 MANHATTAN AVENUE,,,,,,
687 MANHATTAN AVENUE,,,,,,
689 MANHATTAN AVENUE,,,,,,
691 MANHATTAN AVENUE,,,,,,
699 MANHATTAN AVENUE,,,,,,
